Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
15,-11.0,12,8.450704225352112, -39 24 -18,A12/47o_L,14,A10m_R,-1
15,-10.0,1,0.6756756756756757, -42 18 -15,A38l_L,14,A10m_R,-1
16,-15.0,50,11.013215859030836, -45 -72 33,A39rv_L,14,A10m_R,-1
17,-10.0,1,0.22026431718061673, -54 -60 30,A39rv_L,14,A10m_R,-1
18,-10.0,1,0.8, -57 -12 -36,A20il_L,14,A10m_R,-1
19,-11.0,1,0.44052863436123346, -66 -9 -15,A21r_L,14,A10m_R,-1
19,-10.0,1,0.3816793893129771, -63 -9 -15,aSTS_L,14,A10m_R,-1
1,-10.0,2,0.8333333333333334, -45 6 51,IFJ_L,17,IFJ_L,-1
1,-10.0,2,1.0309278350515463, -45 6 54,A6vl_L,17,IFJ_L,-1
2,-13.0,35,21.604938271604937, -63 -42 -6,A21c_L,17,IFJ_L,-1
2,-11.0,2,1.0050251256281406, -66 -45 -9,A37dl_L,17,IFJ_L,-1
2,-10.0,1,0.3816793893129771, -69 -36 0,aSTS_L,17,IFJ_L,-1
2,-10.0,5,3.7313432835820897, -57 -42 -9,A20cl_L,17,IFJ_L,-1
1,-11.0,20,4.975124378109452, 48 -57 21,A39rv_R,18,IFJ_R,-1
2,-12.0,11,3.7037037037037037, 30 57 0,A46_R,18,IFJ_R,-1
2,-12.0,51,15.789473684210526, 33 57 -6,A10l_R,18,IFJ_R,-1
2,-12.0,1,0.7575757575757576, 33 54 -9,A12/47o_R,18,IFJ_R,-1
3,-10.0,1,0.4032258064516129, -21 63 -3,A10l_L,18,IFJ_R,-1
1,-10.0,1,0.3968253968253968, 36 -3 60,A6cdl_R,22,A9/46v_R,-1
1,-14.0,23,14.197530864197532, -66 -39 -9,A21c_L,23,A8vl_L,-1
1,-10.0,1,0.5025125628140703, -66 -45 -9,A37dl_L,23,A8vl_L,-1
1,-10.0,2,1.492537313432836, -63 -33 -15,A20cl_L,23,A8vl_L,-1
1,-11.0,9,2.7863777089783284, 33 60 0,A10l_R,25,A6vl_L,-1
2,-10.0,3,0.9287925696594427, 18 66 9,A10l_R,25,A6vl_L,-1
3,-17.0,68,41.97530864197531, -63 -39 -9,A21c_L,25,A6vl_L,-1
3,-17.0,16,8.040201005025125, -63 -48 -6,A37dl_L,25,A6vl_L,-1
3,-12.0,4,1.5267175572519085, -60 -36 -6,aSTS_L,25,A6vl_L,-1
3,-11.0,1,1.0309278350515463, -51 -48 -15,A37elv_L,25,A6vl_L,-1
3,-11.0,7,5.343511450381679, -63 -54 -12,A37vl_L,25,A6vl_L,-1
3,-17.0,71,52.985074626865675, -57 -42 -15,A20cl_L,25,A6vl_L,-1
4,-11.0,1,1.0309278350515463, -54 -51 -18,A37elv_L,25,A6vl_L,-1
5,-10.0,1,1.0638297872340425, -54 27 21,A45c_L,25,A6vl_L,-1
1,-11.0,1,0.3367003367003367, 30 63 6,A46_R,26,A6vl_R,-1
1,-11.0,2,0.6191950464396285, 30 63 0,A10l_R,26,A6vl_R,-1
1,-10.0,6,0.7822685788787483, -24 -87 -39,Left Crus II,27,A10l_L,-1
1,-11.0,22,8.494208494208495, -6 -60 12,dmPOS_L,41,A14m_L,-1
1,-10.0,10,3.125, 6 -57 15,dmPOS_R,41,A14m_L,-1
1,-11.0,23,9.663865546218487, 0 -63 18,A31_L,41,A14m_L,-1
