ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal
A37lv_L,A6cdl_R,2,0,FALSE,FALSE
A37lv_L,A6cvl_R,2,0,FALSE,FALSE
A37lv_L,A7c_L,2,0,FALSE,FALSE
A37lv_L,A7c_R,2,0,FALSE,FALSE
A37lv_L,A7ip_L,2,0,FALSE,FALSE
A37lv_L,lsOccG_L,2,0,FALSE,FALSE
A37lv_L,lsOccG_R,2,0,FALSE,FALSE
A37lv_L,OPC_L,2,0,FALSE,FALSE
A37lv_R,A39c_R,2,0,FALSE,FALSE
A37lv_R,A40rd_L,2,0,FALSE,FALSE
A37lv_R,A40rv_R,2,0,FALSE,FALSE
A37lv_R,A6cdl_R,2,0,FALSE,FALSE
A37lv_R,A6cvl_R,2,0,FALSE,FALSE
A37lv_R,A7c_L,2,0,FALSE,FALSE
A37lv_R,dmPOS_L,2,0,FALSE,FALSE
A37lv_R,dmPOS_R,2,0,FALSE,FALSE
A37lv_R,iOccG_L,2,0,FALSE,FALSE
A37lv_R,iOccG_R,2,0,FALSE,FALSE
A37lv_R,vmPOS_R,2,0,FALSE,FALSE
A38m_L,A10m_L,2,0,FALSE,FALSE
A38m_L,A9l_R,2,0,FALSE,FALSE
A38m_L,A9m_R,2,0,FALSE,FALSE
A38m_L,rpSTS_L,2,0,FALSE,FALSE
A38m_R,A40rv_R,2,0,FALSE,FALSE
A38m_R,A9m_L,2,0,FALSE,FALSE
A6vl_L,A10l_R,2,0,FALSE,FALSE
A6vl_L,A37elv_L,2,0,FALSE,FALSE
A7ip_L,lsOccG_R,2,0,FALSE,FALSE
A8dl_L,aSTS_L,2,0,FALSE,FALSE
A8dl_L,aSTS_R,2,0,FALSE,FALSE
A9m_R,A20rv_R,2,0,FALSE,FALSE
aSTS_L,A14m_L,2,0,FALSE,FALSE
aSTS_L,A39rv_L,2,0,FALSE,FALSE
aSTS_L,A8dl_L,2,0,FALSE,FALSE
aSTS_L,A9l_R,2,0,FALSE,FALSE
aSTS_L,A9m_R,2,0,FALSE,FALSE
aSTS_R,A1/2/3tru_R,2,0,FALSE,FALSE
aSTS_R,A41/42_L,2,0,FALSE,FALSE
aSTS_R,A9m_L,2,0,FALSE,FALSE
aSTS_R,TE1.0/TE1.2_L,2,0,FALSE,FALSE
cpSTS_R,TE1.0/TE1.2_R,2,0,FALSE,FALSE
lsOccG_R,A20cl_R,2,0,FALSE,FALSE
lsOccG_R,A37lv_L,2,0,FALSE,FALSE
rpSTS_L,A12/47o_R,2,0,FALSE,FALSE
rpSTS_L,A38l_R,2,0,FALSE,FALSE
rpSTS_L,A38m_L,2,0,FALSE,FALSE
vmPOS_L,A20rv_R,2,0,FALSE,FALSE
vmPOS_L,A38m_L,2,0,FALSE,FALSE
vmPOS_L,rpSTS_R,2,0,FALSE,FALSE
vmPOS_R,A20rv_R,2,0,FALSE,FALSE
vmPu_R,A23d_R,2,0,FALSE,FALSE
A1/2/3ll_L,A1/2/3ulhf_L,1,0,FALSE,FALSE
A1/2/3ll_L,A2_L,1,0,FALSE,FALSE
A1/2/3ll_L,A40rd_L,1,0,FALSE,FALSE
A1/2/3ll_L,A4t_L,1,0,FALSE,FALSE
A1/2/3ll_R,A1/2/3tru_L,1,0,FALSE,FALSE
A1/2/3ll_R,A5m_L,1,0,FALSE,FALSE
A1/2/3tonIa_L,A40rv_R,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ll_L,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ll_R,1,0,FALSE,FALSE
A1/2/3tru_L,A1/2/3ulhf_L,1,0,FALSE,FALSE
A1/2/3tru_L,A4hf_L,1,0,FALSE,FALSE
A1/2/3tru_L,A4ll_R,1,0,FALSE,FALSE
A1/2/3tru_R,A1/2/3ulhf_L,1,0,FALSE,FALSE
A1/2/3tru_R,A4hf_L,1,0,FALSE,FALSE
A1/2/3ulhf_L,A1/2/3ulhf_R,1,0,FALSE,FALSE
A1/2/3ulhf_L,A4hf_R,1,0,FALSE,FALSE
A10l_L,Left Crus II,1,0,FALSE,FALSE
A10m_L,A21r_R,1,0,FALSE,FALSE
A10m_L,A9m_L,1,0,FALSE,FALSE
A10m_R,A1/2/3ll_L,1,0,FALSE,FALSE
A10m_R,A10m_L,1,0,FALSE,FALSE
A10m_R,A12/47o_L,1,0,FALSE,FALSE
A10m_R,A14m_L,1,0,FALSE,FALSE
A10m_R,A14m_R,1,0,FALSE,FALSE
A10m_R,A20il_L,1,0,FALSE,FALSE
A10m_R,A21r_L,1,0,FALSE,FALSE
A10m_R,A23c_L,1,0,FALSE,FALSE
A10m_R,A23c_R,1,0,FALSE,FALSE
A10m_R,A23d_R,1,0,FALSE,FALSE
A10m_R,A23v_L,1,0,FALSE,FALSE
A10m_R,A31_L,1,0,FALSE,FALSE
A10m_R,A32sg_L,1,0,FALSE,FALSE
A10m_R,A38l_L,1,0,FALSE,FALSE
A10m_R,A38m_L,1,0,FALSE,FALSE
A10m_R,A4ll_L,1,0,FALSE,FALSE
A10m_R,A6dl_L,1,0,FALSE,FALSE
A10m_R,A6vl_L,1,0,FALSE,FALSE
A10m_R,A8dl_R,1,0,FALSE,FALSE
A10m_R,A8m_L,1,0,FALSE,FALSE
A10m_R,A8vl_R,1,0,FALSE,FALSE
A10m_R,A9l_L,1,0,FALSE,FALSE
A10m_R,aSTS_L,1,0,FALSE,FALSE
A10m_R,dmPOS_L,1,0,FALSE,FALSE
A10m_R,dmPOS_R,1,0,FALSE,FALSE
A10m_R,IFJ_L,1,0,FALSE,FALSE
A10m_R,IFJ_R,1,0,FALSE,FALSE
A10m_R,rCunG_L,1,0,FALSE,FALSE
A10m_R,rCunG_R,1,0,FALSE,FALSE
A10m_R,rLinG_L,1,0,FALSE,FALSE
A10m_R,vmPOS_L,1,0,FALSE,FALSE
A10m_R,vmPOS_R,1,0,FALSE,FALSE
A11m_L,A14m_L,1,0,FALSE,FALSE
A11m_L,A21r_R,1,0,FALSE,FALSE
A11m_L,A23v_L,1,0,FALSE,FALSE
A11m_L,A23v_R,1,0,FALSE,FALSE
A11m_L,A31_R,1,0,FALSE,FALSE
A11m_L,dmPOS_L,1,0,FALSE,FALSE
A11m_L,Left I-IV,1,0,FALSE,FALSE
A11m_L,rCunG_R,1,0,FALSE,FALSE
A11m_L,vmPOS_L,1,0,FALSE,FALSE
A11m_R,A1/2/3tru_R,1,0,FALSE,FALSE
A11m_R,A11m_L,1,0,FALSE,FALSE
A11m_R,A11m_R,1,0,FALSE,TRUE
A11m_R,A14m_L,1,0,FALSE,FALSE
A11m_R,A20il_L,1,0,FALSE,FALSE
A11m_R,A20il_R,1,0,FALSE,FALSE
A11m_R,A21c_L,1,0,FALSE,FALSE
A11m_R,A21r_L,1,0,FALSE,FALSE
A11m_R,A21r_R,1,0,FALSE,FALSE
A11m_R,A23d_L,1,0,FALSE,FALSE
A11m_R,A23d_R,1,0,FALSE,FALSE
A11m_R,A23v_L,1,0,FALSE,FALSE
A11m_R,A23v_R,1,0,FALSE,FALSE
A11m_R,A24rv_L,1,0,FALSE,FALSE
A11m_R,A31_R,1,0,FALSE,FALSE
A11m_R,A39c_L,1,0,FALSE,FALSE
A11m_R,A39rv_L,1,0,FALSE,FALSE
A11m_R,A6vl_L,1,0,FALSE,FALSE
A11m_R,A8dl_L,1,0,FALSE,FALSE
A11m_R,A8dl_R,1,0,FALSE,FALSE
A11m_R,A8vl_L,1,0,FALSE,FALSE
A11m_R,A9/46d_L,1,0,FALSE,FALSE
A11m_R,aSTS_L,1,0,FALSE,FALSE
A11m_R,dmPOS_L,1,0,FALSE,FALSE
A11m_R,dmPOS_R,1,0,FALSE,FALSE
A11m_R,IFJ_L,1,0,FALSE,FALSE
A11m_R,Left IX,1,0,FALSE,FALSE
A11m_R,Left V,1,0,FALSE,FALSE
A11m_R,rCunG_L,1,0,FALSE,FALSE
A11m_R,rCunG_R,1,0,FALSE,FALSE
A11m_R,Right I-IV,1,0,FALSE,FALSE
A11m_R,Right IX,1,0,FALSE,FALSE
A11m_R,Right V,1,0,FALSE,FALSE
A11m_R,rLinG_L,1,0,FALSE,FALSE
A11m_R,rLinG_R,1,0,FALSE,FALSE
A11m_R,V5/MT+_L,1,0,FALSE,FALSE
A11m_R,vmPOS_L,1,0,FALSE,FALSE
A11m_R,vmPOS_R,1,0,FALSE,FALSE
A12/47l_L,A21c_L,1,0,FALSE,FALSE
A12/47l_L,A22c_L,1,0,FALSE,FALSE
A12/47l_L,aSTS_L,1,0,FALSE,FALSE
A12/47l_L,rpSTS_L,1,0,FALSE,FALSE
A12/47o_L,A20cl_L,1,0,FALSE,FALSE
A12/47o_L,A20il_L,1,0,FALSE,FALSE
A12/47o_L,A21c_L,1,0,FALSE,FALSE
A12/47o_L,A21r_L,1,0,FALSE,FALSE
A12/47o_L,A22c_L,1,0,FALSE,FALSE
A12/47o_L,A37dl_L,1,0,FALSE,FALSE
A12/47o_L,A8dl_L,1,0,FALSE,FALSE
A12/47o_L,A9l_L,1,0,FALSE,FALSE
A12/47o_L,cpSTS_L,1,0,FALSE,FALSE
A12/47o_L,rpSTS_L,1,0,FALSE,FALSE
A14m_L,A10m_R,1,0,FALSE,FALSE
A14m_L,A21r_L,1,0,FALSE,FALSE
A14m_L,A23c_L,1,0,FALSE,FALSE
A14m_L,A23c_R,1,0,FALSE,FALSE
A14m_L,A23v_L,1,0,FALSE,FALSE
A14m_L,A23v_R,1,0,FALSE,FALSE
A14m_L,A31_L,1,0,FALSE,FALSE
